threshold,f1,mcc,precision,recall,positive_predictions
0.05,0.557052175259328,0.48928969085221957,0.40277622299339527,0.9028858218318695,8933
0.06,0.5613096175035416,0.49251020257799016,0.4088980621488361,0.8948557089084065,8721
0.07,0.5655678825125708,0.4962336041441943,0.41467696629213485,0.8890840652446675,8544
0.08,0.5704567541302236,0.5008037095586524,0.4211407389692694,0.8838143036386449,8363
0.09,0.5742136304062909,0.504286467389367,0.42624346345615954,0.8795483061480552,8223
0.1,0.5756420878210439,0.5044519019418372,0.4296846011131725,0.8717691342534505,8085
0.11,0.579454926624738,0.50795218524385,0.4351385390428212,0.8670012547051443,7940
0.12,0.580628760274553,0.5079958354830629,0.438331627430911,0.859723964868256,7816
0.13,0.5823131581200239,0.5088419807724364,0.4419178794178794,0.8534504391468005,7696
0.14,0.5849268841394826,0.5109606498320068,0.4463814051769678,0.848180677540778,7572
0.15,0.5862099099886393,0.5113684639264263,0.4497184231697506,0.8416562107904643,7458
0.16,0.5886712546320805,0.5134892619650708,0.4539393114709484,0.8371392722710164,7349
0.17,0.5893064357761314,0.5128721364883648,0.4573288999722915,0.8283563362609787,7218
0.18,0.5911179173047473,0.5142274208332909,0.4610736368746487,0.8233375156838143,7116
0.19,0.5928083750568958,0.5152917122399882,0.46514285714285714,0.8170639899623588,7000
0.2,0.5944505696435134,0.5164746703996784,0.4689085374691984,0.8117942283563363,6899
0.21,0.5949461166852471,0.5159608588369677,0.47234105325269216,0.803513174404015,6779
0.22,0.5952806242361568,0.5152281205520861,0.47594708358388454,0.7944792973651192,6652
0.23,0.5959509552323924,0.5151043131887141,0.4796511627906977,0.7867001254705144,6536
0.24,0.5949744873399442,0.5127268102715057,0.48266166822867856,0.7754077791718946,6402
0.25,0.5954541020388254,0.5123469283451976,0.4870730928822215,0.7658720200752823,6266
0.26,0.5937932397707056,0.5092929429526803,0.4898092287624327,0.7538268506900878,6133
0.27,0.5939030484757621,0.5087616425748201,0.4935215946843854,0.7455457967377667,6020
0.28,0.5924045491470349,0.5060206145850722,0.49752686338052193,0.7319949811794229,5863
0.29,0.5899339933993399,0.5022300688107686,0.5007879530730169,0.7176913425345044,5711
0.3,0.5888783769578472,0.500341688711634,0.5066931982633864,0.7028858218318695,5528
0.31,0.5854128735139766,0.49567429680669844,0.5106502242152466,0.6858218318695106,5352
0.32,0.582369626881955,0.4918125989247161,0.5151515151515151,0.6697616060225847,5181
0.33,0.5768886902101028,0.48530213628793856,0.5200483578480758,0.6476787954830615,4963
0.34,0.5733772877117199,0.48143531181621685,0.5241064006650041,0.6328732747804267,4812
0.35,0.5706011815127997,0.47878517466523507,0.5299053356282272,0.6180677540777917,4648
0.36,0.566949552098067,0.47525427087411926,0.5345632362747277,0.6035131744040151,4499
0.37,0.5623501199040767,0.47079822082775025,0.5384615384615384,0.588456712672522,4355
0.38,0.554617737003058,0.463059127944411,0.5410501193317423,0.568883312421581,4190
0.39,0.5468808367575645,0.4554487168649981,0.5427582797825012,0.5510664993726474,4046
0.4,0.54337899543379,0.4532862744154241,0.5493716337522442,0.5375156838143036,3899
0.41,0.5397030342156229,0.4511054416974638,0.5558510638297872,0.5244667503136763,3760
0.42,0.5311796637097842,0.4445151828782923,0.5622197309417041,0.503387703889586,3568
0.43,0.5228652367462566,0.43764529382712813,0.5653442240373395,0.4863237139272271,3428
0.44,0.5182541861103486,0.4352282119460345,0.5719478945774008,0.4737766624843162,3301
0.45,0.5125558035714286,0.43160763565434507,0.5771284951303801,0.46097867001254705,3183
0.46,0.5022026431718062,0.4231880087645875,0.5789646133682831,0.4434127979924718,3052
0.47,0.49640287769784175,0.41909546971821704,0.581787521079258,0.4328732747804266,2965
0.48,0.4881613563285589,0.41304544155180584,0.5845292264613231,0.4190715181932246,2857
0.49,0.47995247995247997,0.4073397881491805,0.5878501273190251,0.4055207026348808,2749
0.5,0.4743106825372909,0.4045430214929057,0.5935143288084465,0.3949811794228356,2652
0.51,0.4661172161172161,0.3984640374875185,0.5948578106739385,0.38318695106649936,2567
0.52,0.4577268504180861,0.39279096041160344,0.5976546704407603,0.37089084065244665,2473
0.53,0.4514814234205988,0.3892011697582119,0.6015037593984962,0.3613550815558344,2394
0.54,0.44419784400760937,0.3841599300483911,0.6030994403788205,0.35156838143036384,2323
0.55,0.4378205128205128,0.38020881628389525,0.6057649667405764,0.34278544542032624,2255
0.56,0.4282230531620875,0.37378786218109517,0.6080332409972299,0.33048933500627353,2166
0.57,0.419631093544137,0.3682450720835479,0.6104456157163393,0.3196988707653701,2087
0.58,0.4180096361521847,0.36967691216799264,0.6184857423795477,0.3156838143036386,2034
0.59,0.4128209431112603,0.3673996568201578,0.6231003039513677,0.3086574654956085,1974
0.6,0.40665873959571935,0.3649668131640429,0.6293375394321766,0.3003764115432873,1902
0.61,0.3986277873070326,0.35935870052409313,0.6298102981029811,0.2915934755332497,1845
0.62,0.3899392888117953,0.3537089610013359,0.6314606741573033,0.2820577164366374,1780
0.63,0.38473656572728865,0.35149154515354863,0.6359953703703703,0.27578419071518195,1728
0.64,0.3752206141899047,0.3436305271690445,0.6323616894705533,0.2667503136762861,1681
0.65,0.3693837684247913,0.3393825250807868,0.6318347509113001,0.26097867001254704,1646
0.66,0.3658754238800643,0.3374746248171563,0.6334981458590853,0.2572145545796738,1618
0.67,0.3574896601330696,0.3307655376615198,0.6307106598984772,0.249435382685069,1576
0.68,0.35039941902687,0.3268057878118405,0.6336178594878529,0.24215809284818068,1523
0.69,0.34146341463414637,0.3208540557161527,0.6341961852861036,0.23362609786700125,1468
0.7,0.3337037037037037,0.3163555856972031,0.6367491166077739,0.2260978670012547,1415
0.71,0.3255988023952096,0.31190487921998983,0.6401766004415012,0.21831869510664995,1359
0.72,0.3183194549583649,0.3091962587812999,0.6474210931485759,0.21104140526976162,1299
0.73,0.3090423502479969,0.3019595424436394,0.6443914081145584,0.20326223337515684,1257
0.74,0.30388013830195926,0.2995081258862215,0.6478296478296478,0.19849435382685068,1221
0.75,0.2989571263035921,0.2964587316865948,0.6487845766974015,0.19422835633626098,1193
0.76,0.2933747814260734,0.29296275216173223,0.6497418244406197,0.18946047678795483,1162
0.77,0.2888454011741683,0.29175801384682587,0.656,0.18519447929736513,1125
0.78,0.2835762111067349,0.2889845409490683,0.6587374199451053,0.1806775407779172,1093
0.79,0.2765324340408649,0.2845711709407344,0.6600378787878788,0.17490589711417817,1056
0.8,0.266906762705082,0.2775536213549361,0.6584402764067128,0.16737766624843162,1013
0.81,0.2629353734648681,0.27671469219032657,0.664969450101833,0.16386449184441657,982
0.82,0.2556818181818182,0.2726254227673331,0.6680805938494168,0.15809284818067754,943
0.83,0.24979591836734694,0.2687970573321707,0.6688524590163935,0.1535759096612296,915
0.84,0.24088943792464484,0.26321410576433496,0.6708715596330275,0.1468005018820577,872
0.85,0.2356595568440671,0.2604898190175418,0.6741706161137441,0.14278544542032623,844
0.86,0.2279749478079332,0.25623403559433894,0.6782608695652174,0.1370138017565872,805
0.87,0.21965074689669684,0.25077336952381574,0.6796875,0.13099121706398997,768
0.88,0.21550813437566027,0.2484070972964262,0.6818181818181818,0.12797992471769135,748
0.89,0.20920857203479737,0.24276088969977225,0.6771978021978022,0.12371392722710163,728
0.9,0.20371556694426649,0.24042978164314444,0.6833810888252149,0.11969887076537014,698
0.91,0.19378506689684938,0.23538119920189068,0.6918335901386748,0.11267252195734002,649
0.92,0.18648119973918714,0.2311613880755633,0.6964285714285714,0.10765370138017566,616
0.93,0.1805038335158817,0.23001955754189035,0.7103448275862069,0.10338770388958594,580
0.94,0.17126462149635843,0.22312733452655695,0.7106227106227107,0.0973651191969887,546
0.95,0.1588222172652242,0.21453342494125321,0.714859437751004,0.08933500627352572,498
